Station,Year,Month,Day,Night,DayLimit,NightLimit
11,2011,10,76.0,72.0,75,70
11,2011,11,75.0,70.0,75,70
11,2011,12,75.0,69.0,75,70
12,2011,2,67.0,58.0,65,55
12,2011,3,68.0,57.0,65,55
12,2011,4,68.0,58.0,65,55
12,2011,5,68.0,60.0,65,55
12,2011,6,68.0,59.0,65,55
12,2011,7,68.0,60.0,65,55
12,2011,8,68.0,60.0,65,55
12,2011,9,68.0,59.0,65,55
12,2011,10,69.0,58.0,65,55
12,2011,11,69.0,60.0,65,55
12,2011,12,71.0,59.0,65,55
13,2011,2,73.0,61.0,65,55
13,2011,3,72.0,61.0,65,55
13,2011,4,72.0,61.0,65,55
13,2011,5,72.0,63.0,65,55
13,2011,6,73.0,64.0,65,55
13,2011,7,73.0,62.0,65,55
13,2011,8,73.0,63.0,65,55
13,2011,9,73.0,62.0,65,55
13,2011,10,74.0,62.0,65,55
13,2011,11,73.0,61.0,65,55
13,2011,12,72.0,60.0,65,55
14,2011,2,43.0,46.0,55,45
14,2011,3,43.0,47.0,55,45
14,2011,4,55.0,48.0,55,45
14,2011,5,67.0,56.0,55,45
14,2011,6,68.0,57.0,55,45
14,2011,7,67.0,56.0,55,45
14,2011,8,68.0,57.0,55,45
14,2011,9,68.0,56.0,55,45
14,2011,10,68.0,55.0,55,45
14,2011,11,68.0,55.0,55,45
14,2011,12,68.0,55.0,55,45
20,2011,2,53.0,50.0,50,40
20,2011,3,53.0,51.0,50,40
20,2011,4,51.0,50.0,50,40
20,2011,5,51.0,51.0,50,40
20,2011,6,52.0,50.0,50,40
20,2011,7,53.0,51.0,50,40
20,2011,8,54.0,54.0,50,40
20,2011,9,52.0,51.0,50,40
20,2011,10,52.0,50.0,50,40
20,2011,11,52.0,49.0,50,40
20,2011,12,52.0,50.0,50,40
21,2011,2,66.0,54.0,65,55
21,2011,3,66.0,54.0,65,55
21,2011,4,65.0,55.0,65,55
21,2011,5,65.0,56.0,65,55
21,2011,6,60.0,53.0,65,55
21,2011,7,62.0,52.0,65,55
21,2011,8,63.0,54.0,65,55
21,2011,9,63.0,52.0,65,55
21,2011,10,63.0,52.0,65,55
21,2011,11,62.0,55.0,65,55
21,2011,12,61.0,54.0,65,55
22,2011,2,54.0,50.0,50,40
22,2011,3,53.0,48.0,50,40
22,2011,4,52.0,49.0,50,40
22,2011,5,52.0,51.0,50,40
22,2011,6,67.0,64.0,50,40
22,2011,7,54.0,50.0,50,40
22,2011,8,54.0,50.0,50,40
22,2011,9,54.0,54.0,50,40
22,2011,10,51.0,49.0,50,40
22,2011,11,51.0,47.0,50,40
22,2011,12,51.0,46.0,50,40
23,2011,2,74.0,73.0,65,55
23,2011,3,73.0,72.0,65,55
23,2011,4,72.0,70.0,65,55
23,2011,5,72.0,70.0,65,55
23,2011,6,73.0,71.0,65,55
23,2011,7,74.0,71.0,65,55
23,2011,8,73.0,70.0,65,55
23,2011,9,73.0,70.0,65,55
23,2011,10,73.0,71.0,65,55
23,2011,11,73.0,71.0,65,55
23,2011,12,73.0,69.0,65,55
24,2011,2,58.0,54.0,50,40
24,2011,3,57.0,54.0,50,40
24,2011,4,56.0,54.0,50,40
24,2011,5,56.0,54.0,50,40
24,2011,6,55.0,55.0,50,40
24,2011,7,55.0,52.0,50,40
24,2011,8,54.0,52.0,50,40
24,2011,9,56.0,54.0,50,40
24,2011,10,57.0,54.0,50,40
24,2011,11,57.0,54.0,50,40
24,2011,12,59.0,54.0,50,40
30,2011,2,72.0,63.0,65,55
30,2011,3,72.0,62.0,65,55
30,2011,4,72.0,63.0,65,55
30,2011,5,72.0,64.0,65,55
30,2011,6,83.0,75.0,65,55
30,2011,7,72.0,63.0,65,55
30,2011,8,73.0,65.0,65,55
30,2011,9,72.0,64.0,65,55
30,2011,10,72.0,63.0,65,55
30,2011,11,73.0,63.0,65,55
30,2011,12,71.0,63.0,65,55
31,2011,2,63.0,57.0,75,70
31,2011,3,62.0,56.0,75,70
31,2011,4,62.0,57.0,75,70
31,2011,5,62.0,56.0,75,70
31,2011,6,62.0,55.0,75,70
31,2011,7,62.0,54.0,75,70
31,2011,8,62.0,54.0,75,70
31,2011,9,63.0,56.0,75,70
31,2011,10,62.0,58.0,75,70
31,2011,11,63.0,58.0,75,70
31,2011,12,61.0,56.0,75,70
32,2011,2,57.0,49.0,55,45
32,2011,3,58.0,52.0,55,45
32,2011,4,58.0,52.0,55,45
32,2011,5,56.0,49.0,55,45
32,2011,6,57.0,50.0,55,45
32,2011,7,59.0,51.0,55,45
32,2011,8,59.0,51.0,55,45
32,2011,9,83.0,49.0,55,45
32,2011,10,66.0,53.0,55,45
32,2011,11,57.0,50.0,55,45
32,2011,12,56.0,47.0,55,45
33,2011,2,76.0,71.0,50,40
33,2011,3,76.0,71.0,50,40
33,2011,4,76.0,71.0,50,40
33,2011,5,75.0,71.0,50,40
33,2011,6,77.0,73.0,50,40
33,2011,7,77.0,72.0,50,40
33,2011,8,76.0,71.0,50,40
33,2011,9,76.0,71.0,50,40
33,2011,10,75.0,71.0,50,40
33,2011,11,75.0,71.0,50,40
33,2011,12,76.0,69.0,50,40
34,2011,2,53.0,48.0,65,55
34,2011,3,53.0,48.0,65,55
34,2011,4,53.0,48.0,65,55
34,2011,5,53.0,48.0,65,55
34,2011,6,53.0,48.0,65,55
34,2011,7,53.0,49.0,65,55
34,2011,8,55.0,50.0,65,55
34,2011,9,56.0,55.0,65,55
34,2011,10,57.0,55.0,65,55
34,2011,11,52.0,48.0,65,55
34,2011,12,52.0,48.0,65,55
40,2011,2,62.0,58.0,75,70
40,2011,3,61.0,57.0,75,70
40,2011,4,62.0,58.0,75,70
40,2011,5,64.0,59.0,75,70
40,2011,6,66.0,61.0,75,70
40,2011,7,64.0,60.0,75,70
40,2011,8,64.0,60.0,75,70
40,2011,9,65.0,61.0,75,70
40,2011,10,64.0,61.0,75,70
40,2011,11,64.0,60.0,75,70
40,2011,12,62.0,60.0,75,70
41,2011,2,67.0,58.0,65,55
41,2011,3,67.0,60.0,65,55
41,2011,4,67.0,61.0,65,55
41,2011,5,67.0,61.0,65,55
41,2011,6,67.0,61.0,65,55
41,2011,7,67.0,60.0,65,55
41,2011,8,68.0,61.0,65,55
41,2011,9,68.0,60.0,65,55
41,2011,10,67.0,60.0,65,55
41,2011,11,66.0,58.0,65,55
41,2011,12,67.0,57.0,65,55
42,2011,2,55.0,47.0,55,45
42,2011,3,55.0,47.0,55,45
42,2011,4,55.0,50.0,55,45
42,2011,5,55.0,50.0,55,45
42,2011,6,56.0,50.0,55,45
42,2011,7,56.0,52.0,55,45
42,2011,8,56.0,50.0,55,45
42,2011,9,55.0,51.0,55,45
42,2011,10,55.0,51.0,55,45
42,2011,11,53.0,46.0,55,45
42,2011,12,53.0,47.0,55,45
43,2011,2,62.0,55.0,50,40
43,2011,3,62.0,55.0,50,40
43,2011,4,61.0,55.0,50,40
43,2011,5,61.0,55.0,50,40
43,2011,6,61.0,54.0,50,40
43,2011,7,61.0,54.0,50,40
43,2011,8,61.0,54.0,50,40
43,2011,9,62.0,54.0,50,40
43,2011,10,61.0,54.0,50,40
43,2011,11,61.0,53.0,50,40
43,2011,12,61.0,52.0,50,40
44,2011,2,63.0,58.0,65,55
44,2011,3,62.0,56.0,65,55
44,2011,4,62.0,56.0,65,55
44,2011,5,62.0,56.0,65,55
44,2011,6,62.0,56.0,65,55
44,2011,7,62.0,54.0,65,55
44,2011,8,62.0,55.0,65,55
44,2011,9,62.0,55.0,65,55
44,2011,10,61.0,56.0,65,55
44,2011,11,61.0,55.0,65,55
44,2011,12,62.0,53.0,65,55
50,2011,2,64.0,55.0,75,70
50,2011,3,63.0,55.0,75,70
50,2011,4,62.0,55.0,75,70
50,2011,5,62.0,56.0,75,70
50,2011,6,63.0,56.0,75,70
50,2011,7,73.0,63.0,75,70
50,2011,8,63.0,51.0,75,70
50,2011,9,62.0,55.0,75,70
50,2011,10,61.0,56.0,75,70
50,2011,11,73.0,61.0,75,70
50,2011,12,73.0,61.0,75,70
51,2011,2,73.0,63.0,65,55
51,2011,3,71.0,61.0,65,55
51,2011,4,72.0,62.0,65,55
51,2011,5,72.0,63.0,65,55
51,2011,6,72.0,63.0,65,55
51,2011,7,61.0,72.0,65,55
51,2011,8,70.0,60.0,65,55
51,2011,9,72.0,62.0,65,55
51,2011,10,72.0,63.0,65,55
51,2011,11,73.0,61.0,65,55
51,2011,12,71.0,61.0,65,55
52,2011,2,54.0,45.0,50,40
52,2011,3,53.0,47.0,50,40
52,2011,4,54.0,50.0,50,40
52,2011,5,54.0,52.0,50,40
52,2011,6,56.0,52.0,50,40
52,2011,7,56.0,51.0,50,40
52,2011,8,55.0,50.0,50,40
52,2011,9,54.0,47.0,50,40
52,2011,10,53.0,46.0,50,40
52,2011,11,53.0,44.0,50,40
52,2011,12,53.0,44.0,50,40
53,2011,2,53.0,46.0,55,45
53,2011,3,53.0,47.0,55,45
53,2011,4,54.0,50.0,55,45
53,2011,5,55.0,50.0,55,45
53,2011,6,59.0,53.0,55,45
53,2011,7,59.0,53.0,55,45
53,2011,8,53.0,45.0,55,45
53,2011,9,52.0,47.0,55,45
53,2011,10,53.0,47.0,55,45
53,2011,11,53.0,50.0,55,45
53,2011,12,57.0,50.0,55,45
54,2011,2,65.0,56.0,50,40
54,2011,3,62.0,53.0,50,40
54,2011,4,63.0,54.0,50,40
54,2011,5,63.0,58.0,50,40
54,2011,6,63.0,58.0,50,40
54,2011,7,64.0,57.0,50,40
54,2011,8,63.0,56.0,50,40
54,2011,9,63.0,55.0,50,40
54,2011,10,63.0,55.0,50,40
54,2011,11,63.0,54.0,50,40
54,2011,12,61.0,54.0,50,40
60,2011,2,69.0,57.0,50,40
60,2011,3,68.0,57.0,50,40
60,2011,4,67.0,59.0,50,40
60,2011,5,65.0,59.0,50,40
60,2011,6,66.0,59.0,50,40
60,2011,7,66.0,59.0,50,40
60,2011,8,66.0,60.0,50,40
60,2011,9,66.0,62.0,50,40
60,2011,10,65.0,60.0,50,40
60,2011,11,66.0,62.0,50,40
60,2011,12,66.0,61.0,50,40
61,2011,2,70.0,69.0,65,55
61,2011,3,70.0,68.0,65,55
61,2011,4,70.0,68.0,65,55
61,2011,5,70.0,67.0,65,55
61,2011,6,70.0,67.0,65,55
61,2011,7,70.0,66.0,65,55
61,2011,8,71.0,67.0,65,55
61,2011,9,69.0,67.0,65,55
61,2011,10,69.0,67.0,65,55
61,2011,11,69.0,68.0,65,55
61,2011,12,70.0,66.0,65,55
62,2011,2,67.0,64.0,65,55
62,2011,3,66.0,63.0,65,55
62,2011,4,67.0,62.0,65,55
62,2011,5,67.0,62.0,65,55
62,2011,6,68.0,63.0,65,55
62,2011,7,67.0,63.0,65,55
62,2011,8,67.0,63.0,65,55
62,2011,9,67.0,63.0,65,55
62,2011,10,66.0,63.0,65,55
62,2011,11,66.0,63.0,65,55
62,2011,12,67.0,62.0,65,55
63,2011,2,61.0,50.0,65,55
63,2011,3,61.0,51.0,65,55
63,2011,4,61.0,53.0,65,55
63,2011,5,63.0,56.0,65,55
63,2011,6,65.0,58.0,65,55
63,2011,7,64.0,55.0,65,55
63,2011,8,64.0,56.0,65,55
63,2011,9,63.0,56.0,65,55
63,2011,10,62.0,55.0,65,55
63,2011,11,61.0,53.0,65,55
63,2011,12,59.0,54.0,65,55
64,2011,2,66.0,60.0,50,40
64,2011,3,66.0,61.0,50,40
64,2011,4,67.0,59.0,50,40
64,2011,5,69.0,70.0,50,40
64,2011,6,69.0,58.0,50,40
64,2011,7,70.0,58.0,50,40
64,2011,8,69.0,58.0,50,40
64,2011,9,70.0,58.0,50,40
64,2011,10,69.0,58.0,50,40
64,2011,11,68.0,57.0,50,40
64,2011,12,65.0,56.0,50,40
0,2012,1,66.0,55.0,55,45
0,2012,2,66.0,55.0,55,45
0,2012,3,66.0,57.0,55,45
0,2012,4,65.0,56.0,55,45
0,2012,5,66.0,56.0,55,45
0,2012,6,66.0,56.0,55,45
0,2012,7,67.0,57.0,55,45
0,2012,8,67.0,58.0,55,45
0,2012,9,66.0,56.0,55,45
0,2012,10,66.0,55.0,55,45
0,2012,11,66.0,55.0,55,45
0,2012,12,66.0,55.0,55,45
1,2012,1,54.0,52.0,65,55
1,2012,2,55.0,52.0,65,55
1,2012,3,54.0,52.0,65,55
1,2012,4,54.0,51.0,65,55
1,2012,5,54.0,52.0,65,55
1,2012,6,54.0,52.0,65,55
1,2012,7,54.0,52.0,65,55
1,2012,8,54.0,52.0,65,55
1,2012,9,54.0,51.0,65,55
1,2012,10,55.0,51.0,65,55
1,2012,11,55.0,52.0,65,55
1,2012,12,56.0,53.0,65,55
2,2012,1,54.0,46.0,55,45
2,2012,2,54.0,46.0,55,45
2,2012,3,54.0,46.0,55,45
2,2012,4,54.0,46.0,55,45
2,2012,5,57.0,50.0,55,45
2,2012,6,59.0,51.0,55,45
2,2012,7,59.0,49.0,55,45
2,2012,8,58.0,49.0,55,45
2,2012,9,58.0,47.0,55,45
2,2012,10,56.0,46.0,55,45
2,2012,11,56.0,46.0,55,45
2,2012,12,55.0,46.0,55,45
3,2012,1,65.0,57.0,65,55
3,2012,2,65.0,57.0,65,55
3,2012,3,65.0,57.0,65,55
3,2012,4,64.0,57.0,65,55
3,2012,5,65.0,57.0,65,55
3,2012,6,65.0,57.0,65,55
3,2012,7,65.0,57.0,65,55
3,2012,8,65.0,57.0,65,55
3,2012,9,65.0,57.0,65,55
3,2012,10,65.0,57.0,65,55
3,2012,11,65.0,57.0,65,55
3,2012,12,65.0,57.0,65,55
4,2012,1,56.0,49.0,75,70
4,2012,2,56.0,50.0,75,70
4,2012,3,55.0,48.0,75,70
4,2012,4,54.0,49.0,75,70
4,2012,5,54.0,50.0,75,70
4,2012,6,55.0,49.0,75,70
4,2012,7,56.0,49.0,75,70
4,2012,8,57.0,52.0,75,70
4,2012,9,54.0,48.0,75,70
4,2012,10,56.0,48.0,75,70
4,2012,11,57.0,49.0,75,70
4,2012,12,57.0,48.0,75,70
10,2012,1,61.0,47.0,50,40
10,2012,2,63.0,49.0,50,40
10,2012,3,63.0,50.0,50,40
10,2012,4,63.0,51.0,50,40
10,2012,5,62.0,51.0,50,40
10,2012,6,63.0,52.0,50,40
10,2012,7,63.0,52.0,50,40
10,2012,8,63.0,52.0,50,40
10,2012,9,63.0,53.0,50,40
10,2012,10,63.0,53.0,50,40
10,2012,11,63.0,52.0,50,40
10,2012,12,58.0,60.0,50,40
11,2012,1,73.0,68.0,75,70
11,2012,2,74.0,69.0,75,70
11,2012,3,75.0,70.0,75,70
11,2012,4,76.0,70.0,75,70
11,2012,5,76.0,71.0,75,70
11,2012,6,76.0,72.0,75,70
11,2012,7,77.0,72.0,75,70
11,2012,8,76.0,72.0,75,70
11,2012,9,76.0,72.0,75,70
11,2012,10,76.0,71.0,75,70
11,2012,11,75.0,71.0,75,70
11,2012,12,75.0,71.0,75,70
12,2012,1,68.0,57.0,65,55
12,2012,2,69.0,57.0,65,55
12,2012,3,69.0,57.0,65,55
12,2012,4,69.0,58.0,65,55
12,2012,5,68.0,58.0,65,55
12,2012,6,68.0,59.0,65,55
12,2012,7,68.0,59.0,65,55
12,2012,8,69.0,59.0,65,55
12,2012,9,68.0,58.0,65,55
12,2012,10,68.0,57.0,65,55
12,2012,11,72.0,61.0,65,55
12,2012,12,68.0,57.0,65,55
13,2012,1,73.0,61.0,65,55
13,2012,2,73.0,61.0,65,55
13,2012,3,73.0,61.0,65,55
13,2012,4,73.0,61.0,65,55
13,2012,5,73.0,62.0,65,55
13,2012,6,73.0,64.0,65,55
13,2012,7,73.0,63.0,65,55
13,2012,8,73.0,63.0,65,55
13,2012,9,73.0,63.0,65,55
13,2012,10,73.0,62.0,65,55
13,2012,11,73.0,62.0,65,55
13,2012,12,74.0,62.0,65,55
14,2012,1,68.0,56.0,55,45
14,2012,2,67.0,55.0,55,45
14,2012,3,67.0,56.0,55,45
14,2012,4,67.0,56.0,55,45
14,2012,5,67.0,56.0,55,45
14,2012,6,68.0,57.0,55,45
14,2012,7,67.0,56.0,55,45
14,2012,8,68.0,56.0,55,45
14,2012,9,68.0,56.0,55,45
14,2012,10,68.0,57.0,55,45
14,2012,11,68.0,56.0,55,45
14,2012,12,68.0,58.0,55,45
20,2012,1,52.0,47.0,50,40
20,2012,2,52.0,48.0,50,40
20,2012,3,51.0,49.0,50,40
20,2012,4,52.0,50.0,50,40
20,2012,5,51.0,50.0,50,40
20,2012,6,51.0,49.0,50,40
20,2012,7,53.0,51.0,50,40
20,2012,8,54.0,54.0,50,40
20,2012,9,52.0,52.0,50,40
20,2012,10,50.0,48.0,50,40
20,2012,11,51.0,49.0,50,40
20,2012,12,52.0,47.0,50,40
21,2012,1,61.0,51.0,65,55
21,2012,2,60.0,51.0,65,55
21,2012,3,62.0,52.0,65,55
21,2012,4,63.0,54.0,65,55
21,2012,5,63.0,54.0,65,55
21,2012,6,62.0,53.0,65,55
21,2012,7,63.0,54.0,65,55
21,2012,8,63.0,54.0,65,55
21,2012,9,63.0,53.0,65,55
21,2012,10,61.0,51.0,65,55
21,2012,11,62.0,52.0,65,55
21,2012,12,62.0,51.0,65,55
22,2012,1,51.0,46.0,50,40
22,2012,2,51.0,48.0,50,40
22,2012,3,50.0,47.0,50,40
22,2012,4,52.0,48.0,50,40
22,2012,5,52.0,48.0,50,40
22,2012,6,51.0,53.0,50,40
22,2012,7,51.0,51.0,50,40
22,2012,8,53.0,55.0,50,40
22,2012,9,52.0,52.0,50,40
22,2012,10,51.0,47.0,50,40
22,2012,11,51.0,46.0,50,40
22,2012,12,50.0,45.0,50,40
23,2012,1,73.0,70.0,65,55
23,2012,2,73.0,71.0,65,55
23,2012,3,73.0,71.0,65,55
23,2012,4,72.0,71.0,65,55
23,2012,5,70.0,70.0,65,55
23,2012,6,60.0,56.0,65,55
23,2012,7,68.0,64.0,65,55
23,2012,8,69.0,63.0,65,55
23,2012,9,71.0,68.0,65,55
23,2012,10,74.0,73.0,65,55
23,2012,11,74.0,74.0,65,55
23,2012,12,74.0,74.0,65,55
24,2012,1,57.0,53.0,50,40
24,2012,2,57.0,54.0,50,40
24,2012,3,57.0,53.0,50,40
24,2012,4,56.0,53.0,50,40
24,2012,5,56.0,53.0,50,40
24,2012,6,56.0,54.0,50,40
24,2012,7,56.0,53.0,50,40
24,2012,8,56.0,54.0,50,40
24,2012,9,56.0,56.0,50,40
24,2012,10,57.0,54.0,50,40
24,2012,11,58.0,55.0,50,40
24,2012,12,56.0,52.0,50,40
30,2012,1,73.0,62.0,65,55
30,2012,2,72.0,63.0,65,55
30,2012,3,72.0,62.0,65,55
30,2012,4,72.0,62.0,65,55
30,2012,5,72.0,63.0,65,55
30,2012,6,73.0,66.0,65,55
30,2012,7,73.0,65.0,65,55
30,2012,8,74.0,67.0,65,55
30,2012,9,73.0,64.0,65,55
30,2012,10,72.0,63.0,65,55
30,2012,11,71.0,61.0,65,55
30,2012,12,71.0,61.0,65,55
31,2012,1,62.0,56.0,75,70
31,2012,2,62.0,57.0,75,70
31,2012,3,62.0,55.0,75,70
31,2012,4,62.0,54.0,75,70
31,2012,5,63.0,57.0,75,70
31,2012,6,65.0,60.0,75,70
31,2012,7,64.0,59.0,75,70
31,2012,8,64.0,58.0,75,70
31,2012,9,64.0,57.0,75,70
31,2012,10,63.0,56.0,75,70
31,2012,11,62.0,54.0,75,70
31,2012,12,61.0,53.0,75,70
32,2012,1,56.0,48.0,55,45
32,2012,2,55.0,48.0,55,45
32,2012,3,55.0,48.0,55,45
32,2012,4,57.0,48.0,55,45
32,2012,5,56.0,48.0,55,45
32,2012,6,56.0,49.0,55,45
32,2012,7,56.0,49.0,55,45
32,2012,8,57.0,49.0,55,45
32,2012,9,56.0,49.0,55,45
32,2012,10,56.0,49.0,55,45
32,2012,11,57.0,49.0,55,45
32,2012,12,57.0,49.0,55,45
33,2012,1,52.0,46.0,50,40
33,2012,2,53.0,48.0,50,40
33,2012,3,52.0,47.0,50,40
33,2012,4,53.0,48.0,50,40
33,2012,5,53.0,46.0,50,40
33,2012,6,54.0,47.0,50,40
33,2012,7,54.0,50.0,50,40
33,2012,8,54.0,50.0,50,40
33,2012,9,59.0,53.0,50,40
33,2012,10,54.0,48.0,50,40
33,2012,11,54.0,48.0,50,40
33,2012,12,53.0,47.0,50,40
34,2012,1,76.0,70.0,65,55
34,2012,2,75.0,71.0,65,55
34,2012,3,75.0,70.0,65,55
34,2012,4,75.0,70.0,65,55
34,2012,5,75.0,70.0,65,55
34,2012,6,75.0,70.0,65,55
34,2012,7,76.0,70.0,65,55
34,2012,8,76.0,71.0,65,55
34,2012,9,76.0,70.0,65,55
34,2012,10,75.0,70.0,65,55
34,2012,11,76.0,71.0,65,55
34,2012,12,76.0,70.0,65,55
40,2012,1,63.0,58.0,75,70
40,2012,2,62.0,57.0,75,70
40,2012,3,63.0,59.0,75,70
40,2012,4,64.0,60.0,75,70
40,2012,5,65.0,60.0,75,70
40,2012,6,66.0,61.0,75,70
40,2012,7,67.0,64.0,75,70
40,2012,8,67.0,65.0,75,70
40,2012,9,66.0,64.0,75,70
40,2012,10,65.0,63.0,75,70
40,2012,11,66.0,63.0,75,70
40,2012,12,65.0,62.0,75,70
41,2012,1,67.0,56.0,65,55
41,2012,2,66.0,58.0,65,55
41,2012,3,66.0,60.0,65,55
41,2012,4,67.0,60.0,65,55
41,2012,5,67.0,61.0,65,55
41,2012,6,67.0,60.0,65,55
41,2012,7,67.0,60.0,65,55
41,2012,8,68.0,61.0,65,55
41,2012,9,67.0,60.0,65,55
41,2012,10,68.0,60.0,65,55
41,2012,11,66.0,59.0,65,55
41,2012,12,67.0,58.0,65,55
42,2012,1,56.0,45.0,55,45
42,2012,2,54.0,46.0,55,45
42,2012,3,53.0,46.0,55,45
42,2012,4,55.0,50.0,55,45
42,2012,5,55.0,51.0,55,45
42,2012,6,56.0,52.0,55,45
42,2012,7,55.0,52.0,55,45
42,2012,8,55.0,53.0,55,45
42,2012,9,54.0,53.0,55,45
42,2012,10,54.0,50.0,55,45
42,2012,11,53.0,48.0,55,45
42,2012,12,55.0,44.0,55,45
43,2012,1,61.0,54.0,50,40
43,2012,2,62.0,55.0,50,40
43,2012,3,62.0,56.0,50,40
43,2012,4,63.0,59.0,50,40
43,2012,5,63.0,59.0,50,40
43,2012,6,63.0,59.0,50,40
43,2012,7,62.0,56.0,50,40
43,2012,8,62.0,56.0,50,40
43,2012,9,62.0,56.0,50,40
43,2012,10,61.0,55.0,50,40
43,2012,11,61.0,55.0,50,40
43,2012,12,61.0,55.0,50,40
44,2012,1,62.0,55.0,65,55
44,2012,2,62.0,55.0,65,55
44,2012,3,61.0,54.0,65,55
44,2012,4,61.0,56.0,65,55
44,2012,5,61.0,55.0,65,55
44,2012,6,61.0,56.0,65,55
44,2012,7,61.0,54.0,65,55
44,2012,8,61.0,53.0,65,55
44,2012,9,61.0,54.0,65,55
44,2012,10,60.0,54.0,65,55
44,2012,11,60.0,53.0,65,55
44,2012,12,60.0,53.0,65,55
50,2012,1,63.0,54.0,75,70
50,2012,2,64.0,55.0,75,70
50,2012,3,63.0,55.0,75,70
50,2012,4,64.0,55.0,75,70
50,2012,5,65.0,60.0,75,70
50,2012,6,63.0,56.0,75,70
50,2012,7,64.0,56.0,75,70
50,2012,8,63.0,57.0,75,70
50,2012,9,64.0,55.0,75,70
50,2012,10,63.0,55.0,75,70
50,2012,11,63.0,54.0,75,70
50,2012,12,63.0,55.0,75,70
51,2012,1,72.0,59.0,65,55
51,2012,2,72.0,61.0,65,55
51,2012,3,72.0,61.0,65,55
51,2012,4,72.0,62.0,65,55
51,2012,5,72.0,62.0,65,55
51,2012,6,72.0,62.0,65,55
51,2012,7,73.0,62.0,65,55
51,2012,8,73.0,61.0,65,55
51,2012,9,73.0,61.0,65,55
51,2012,10,72.0,60.0,65,55
51,2012,11,73.0,61.0,65,55
51,2012,12,72.0,60.0,65,55
52,2012,1,59.0,45.0,50,40
52,2012,2,58.0,48.0,50,40
52,2012,3,57.0,49.0,50,40
52,2012,4,57.0,50.0,50,40
52,2012,5,59.0,54.0,50,40
52,2012,6,61.0,54.0,50,40
52,2012,7,58.0,56.0,50,40
52,2012,8,58.0,55.0,50,40
52,2012,9,58.0,54.0,50,40
52,2012,10,57.0,52.0,50,40
52,2012,11,57.0,48.0,50,40
52,2012,12,58.0,47.0,50,40
53,2012,1,52.0,42.0,55,45
53,2012,2,53.0,45.0,55,45
53,2012,3,54.0,46.0,55,45
53,2012,4,56.0,48.0,55,45
53,2012,5,54.0,49.0,55,45
53,2012,6,54.0,50.0,55,45
53,2012,7,53.0,51.0,55,45
53,2012,8,53.0,50.0,55,45
53,2012,9,54.0,49.0,55,45
53,2012,10,53.0,49.0,55,45
53,2012,11,53.0,47.0,55,45
53,2012,12,52.0,42.0,55,45
54,2012,1,62.0,54.0,50,40
